route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
71-10493,2019-COMBNXT-Saturday-01,35967011-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967012-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
71-10493,2019-COMBNXT-Saturday-01,35967013-2019-COMBNXT-Saturday-01,Tuggeranong,1,710096,1,1
72-10493,2019-COMBNXT-Saturday-01,35967014-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
72-10493,2019-COMBNXT-Saturday-01,35967015-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
72-10493,2019-COMBNXT-Saturday-01,35967016-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
72-10493,2019-COMBNXT-Saturday-01,35967017-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
72-10493,2019-COMBNXT-Saturday-01,35967018-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
72-10493,2019-COMBNXT-Saturday-01,35967019-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
72-10493,2019-COMBNXT-Saturday-01,35967020-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
72-10493,2019-COMBNXT-Saturday-01,35967021-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
72-10493,2019-COMBNXT-Saturday-01,35967022-2019-COMBNXT-Saturday-01,Erindale Loop,0,720012,1,1
73-10493,2019-COMBNXT-Saturday-01,35967023-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
73-10493,2019-COMBNXT-Saturday-01,35967024-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
73-10493,2019-COMBNXT-Saturday-01,35967025-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
73-10493,2019-COMBNXT-Saturday-01,35967026-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
73-10493,2019-COMBNXT-Saturday-01,35967027-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
73-10493,2019-COMBNXT-Saturday-01,35967028-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
74-10493,2019-COMBNXT-Saturday-01,35967029-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
73-10493,2019-COMBNXT-Saturday-01,35967030-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
73-10493,2019-COMBNXT-Saturday-01,35967031-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
73-10493,2019-COMBNXT-Saturday-01,35967032-2019-COMBNXT-Saturday-01,Erindale Loop,1,730008,1,1
74-10493,2019-COMBNXT-Saturday-01,35967033-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
74-10493,2019-COMBNXT-Saturday-01,35967034-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
74-10493,2019-COMBNXT-Saturday-01,35967035-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
74-10493,2019-COMBNXT-Saturday-01,35967036-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
74-10493,2019-COMBNXT-Saturday-01,35967037-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
74-10493,2019-COMBNXT-Saturday-01,35967038-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
74-10493,2019-COMBNXT-Saturday-01,35967039-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
74-10493,2019-COMBNXT-Saturday-01,35967040-2019-COMBNXT-Saturday-01,Chisholm Loop,0,740013,1,1
75-10493,2019-COMBNXT-Saturday-01,35967041-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
75-10493,2019-COMBNXT-Saturday-01,35967042-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
75-10493,2019-COMBNXT-Saturday-01,35967043-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
75-10493,2019-COMBNXT-Saturday-01,35967044-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
75-10493,2019-COMBNXT-Saturday-01,35967045-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
75-10493,2019-COMBNXT-Saturday-01,35967046-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
75-10493,2019-COMBNXT-Saturday-01,35967047-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
75-10493,2019-COMBNXT-Saturday-01,35967048-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
75-10493,2019-COMBNXT-Saturday-01,35967049-2019-COMBNXT-Saturday-01,Chisholm Loop,1,750016,1,1
76-10493,2019-COMBNXT-Saturday-01,35967050-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967051-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967052-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967053-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967054-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967055-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967056-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967057-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967058-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967059-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967060-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967061-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967062-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967063-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967064-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967065-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967066-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967067-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967068-2019-COMBNXT-Saturday-01,Tuggeranong,0,760021,1,1
76-10493,2019-COMBNXT-Saturday-01,35967069-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
76-10493,2019-COMBNXT-Saturday-01,35967070-2019-COMBNXT-Saturday-01,Calwell,1,760018,1,1
