Arrival Delay,Arrival Time,Arrival Uncertainty,Departure Delay,Departure Time,Departure Uncertainty, Schedule Relationship,Stop ID,Stop Sequence,Trip ID,Request Timestamp,Delay
35,2019-06-03 11:04:35,0,35,2019-06-03 11:04:35,0,SCHEDULED,8129,13,175,2019-06-03 17:02:15,0
-39,2019-06-03 11:33:21,0,-39,2019-06-03 11:33:21,0,SCHEDULED,8100,13,54,2019-06-03 17:02:15,0
-14,2019-06-03 12:03:46,0,-14,2019-06-03 12:03:46,0,SCHEDULED,8129,13,181,2019-06-03 17:02:15,0
-43,2019-06-03 12:33:17,0,-43,2019-06-03 12:33:17,0,SCHEDULED,8100,13,60,2019-06-03 17:02:15,0
-27,2019-06-03 13:03:33,0,-27,2019-06-03 13:03:33,0,SCHEDULED,8129,13,187,2019-06-03 17:02:15,0
-7,2019-06-03 13:33:53,0,-7,2019-06-03 13:33:53,0,SCHEDULED,8100,13,66,2019-06-03 17:02:15,0
23,2019-06-03 14:04:23,0,23,2019-06-03 14:04:23,0,SCHEDULED,8129,13,193,2019-06-03 17:02:15,0
30,2019-06-03 14:34:30,0,30,2019-06-03 14:34:30,0,SCHEDULED,8100,13,72,2019-06-03 17:02:15,0
58,2019-06-03 15:04:58,0,58,2019-06-03 15:04:58,0,SCHEDULED,8129,13,199,2019-06-03 17:02:15,0
126,2019-06-03 15:36:06,0,126,2019-06-03 15:36:06,0,SCHEDULED,8100,13,78,2019-06-03 17:02:15,0
145,2019-06-03 16:06:25,0,145,2019-06-03 16:06:25,0,SCHEDULED,8129,13,207,2019-06-03 17:02:15,0
33,2019-06-03 16:36:33,0,33,2019-06-03 16:36:33,0,SCHEDULED,8100,13,89,2019-06-03 17:02:15,0
23,2019-06-03 17:02:58,0,23,2019-06-03 17:03:18,0,SCHEDULED,8124,11,218,2019-06-03 17:02:15,0
0,2019-06-03 17:12:00,1,0,2019-06-03 17:12:00,1,SCHEDULED,8129,1,99,2019-06-03 17:02:15,0
0,2019-06-03 17:39:00,1,0,2019-06-03 17:39:00,1,SCHEDULED,8100,1,227,2019-06-03 17:02:15,0
39,2019-06-03 07:03:50,0,39,2019-06-03 07:03:50,0,SCHEDULED,8129,8,139,2019-06-03 17:02:15,0
32,2019-06-03 07:34:32,0,32,2019-06-03 07:34:32,0,SCHEDULED,8100,13,18,2019-06-03 17:02:15,0
11,2019-06-03 08:06:11,0,11,2019-06-03 08:06:11,0,SCHEDULED,8129,13,148,2019-06-03 17:02:15,0
70,2019-06-03 08:37:10,0,70,2019-06-03 08:37:10,0,SCHEDULED,8100,13,29,2019-06-03 17:02:15,0
18,2019-06-03 09:06:18,0,18,2019-06-03 09:06:18,0,SCHEDULED,8129,13,158,2019-06-03 17:02:15,0
-40,2019-06-03 09:23:20,0,-40,2019-06-03 09:23:20,0,SCHEDULED,8115,8,39,2019-06-03 17:02:15,0
117,2019-06-03 07:41:57,0,117,2019-06-03 07:41:57,0,SCHEDULED,8100,5,20,2019-06-03 17:02:15,0
114,2019-06-03 08:13:54,0,114,2019-06-03 08:13:54,0,SCHEDULED,8129,13,149,2019-06-03 17:02:15,0
82,2019-06-03 08:43:22,0,82,2019-06-03 08:43:22,0,SCHEDULED,8100,13,30,2019-06-03 17:02:15,0
-1,2019-06-03 09:11:59,0,-1,2019-06-03 09:11:59,0,SCHEDULED,8129,13,159,2019-06-03 17:02:15,0
67,2019-06-03 09:45:07,0,67,2019-06-03 09:45:07,0,SCHEDULED,8100,13,41,2019-06-03 17:02:15,0
61,2019-06-03 10:15:01,0,61,2019-06-03 10:15:01,0,SCHEDULED,8129,13,170,2019-06-03 17:02:15,0
